Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Cote d'Ivoire,CIV,SSA,35,106,2.488668,9,30.91858,39.08141,31.56855,,28.85599,37.26319,,46.73721,,,32.41864,47.7851,35.11188,27.84409,29.29284
Egypt,EGY,MENA,35,106,4.863433,7,27.02397,42.97603,,,28.85599,37.26319,,34.50329,,,32.41864,20.2957,,61.68919,31.0894
North Macedonia,MKD,ECA,35,106,3.56274,7,29.15711,40.8429,,,40.82453,19.79276,47.45523,34.50329,,,,27.52975,,31.87744,41.86874
p,MNG,AP,35,106,1.887561,9,31.9044,38.0956,,,36.83502,37.26319,,46.73721,28.38294,,35.37963,31.14678,35.11188,27.84409,35.58079
El Salvador,SLV,AME,34,113,2.563654,7,29.79561,38.20439,,,44.81405,37.26319,,34.50329,,,32.41864,24.63613,,27.66873,38.27563
Kazakhstan,KAZ,ECA,34,113,4.176606,9,27.15037,40.84963,,,32.8455,19.79276,23.71598,34.50329,54.91934,,42.52084,17.40208,,46.60795,35.58079
Nepal,NPL,AP,34,113,1.759387,6,31.1146,36.8854,,,28.85599,,,34.50329,,,,28.97656,35.11188,40.29488,34.68251
Philippines,PHL,AP,34,113,1.585877,9,31.39916,36.60084,,,32.8455,37.26319,,34.50329,29.32456,38.95037,41.12743,30.42337,,31.70208,26.59801
Eswatini,SWZ,SSA,34,113,6.075864,4,24.03558,43.96442,,,16.88744,,,34.50329,,,,41.99786,,43.27605,
Zambia,ZMB,SSA,34,113,1.973667,9,30.76319,37.23681,39.22922,,28.85599,37.26319,,34.50329,,,35.37963,42.72126,26.78049,25.73973,38.27563
Sierra Leone,SLE,SSA,33,119,3.465013,8,27.31738,38.68262,34.17318,,32.8455,19.79276,,46.73721,,,46.87523,25.35954,35.11188,,25.69973
Moldova,MDA,ECA,32,120,2.395228,9,28.07183,35.92817,,,28.85599,37.26319,32.61819,46.73721,,,32.41864,21.01911,26.78049,30.12381,29.29284
Niger,NER,SSA,32,120,1.715677,7,29.18629,34.81371,36.77781,,28.85599,,,34.50329,,,23.70985,34.0404,35.11188,,33.78424
Pakistan,PAK,AP,32,120,2.461317,8,27.96344,36.03656,,,20.87696,37.26319,,34.50329,,,32.41864,26.80635,35.11188,42.74996,26.59801
Bolivia,BOL,AME,31,123,2.996561,7,26.08564,35.91436,,,36.83502,37.26319,,34.50329,,,32.41864,34.7638,,19.07593,19.41177
Gabon,GAB,SSA,31,123,2.407603,6,27.05153,34.94847,,,32.8455,37.26319,,34.50329,,,32.41864,20.2957,,29.42236,
